Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
3/10/2020,2599,,,31,5,,36,2747,,,112,,,,,,,
3/11/2020,2888,,,37,5,,42,3395,,,465,,,,,,,
3/12/2020,3590,,,54,5,,59,4185,,,536,,,,,,,
3/13/2020,4470,,,74,5,,79,5129,,,580,,,,,,,
3/14/2020,5606,,,98,5,,103,6648,,,939,,,,,,,
3/15/2020,7004,,,140,5,,145,8465,,,1316,,,,,,,
3/16/2020,8464,,,172,5,,177,10178,,,1537,,,,,,,
3/17/2020,9415,,,183,5,1,189,11171,,,1567,,,,,,,
3/18/2020,10305,,,208,5,1,214,13897,,,3378,,,,,,,
3/19/2020,12421,,,251,5,2,258,16650,,,3971,,,,,,,
3/20/2020,13718,,,311,5,2,318,19511,,,5475,,,,,,,
3/21/2020,15768,,,369,6,2,377,23384,,,7239,,,,,,,
3/22/2020,17634,,,412,8,5,425,26420,,,8361,,,,,,,
3/23/2020,19586,,,489,8,6,503,28506,,,8417,,,,,,,
3/24/2020,21795,,,572,8,8,588,32457,,,10074,,,,,,,
3/25/2020,24458,,,667,8,13,688,35635,,,10489,,,,,,,
3/26/2020,26727,,,835,8,15,858,38550,,,10965,,,,,,,
3/27/2020,29967,,,967,8,18,993,41032,,,10074,,,,,,,
3/28/2020,33240,,,1117,8,19,1144,43072,,,8690,,,,,,,
3/29/2020,40630,,,1324,8,23,1355,49186,,,7203,,,,,,,
3/30/2020,,,,1252,431,23,1706,48461,,,5651,,,,,,,
3/31/2020,,,,1399,534,33,1966,51629,,,4280,,,,,,,
4/1/2020,,,,1681,674,37,2392,57874,,,3135,,,,,,,
4/2/2020,,,,1909,831,53,2793,62733,,,2052,405,167,112,,,,
4/3/2020,,,,2165,1023,67,3255,66753,,,1245,462,194,140,,,,
4/4/2020,,,,2317,1219,94,3630,71338,,,1336,506,196,152,,,,
4/5/2020,,,,2470,1449,119,4038,75046,,,981,523,200,154,,,,
4/6/2020,,,,2591,1624,132,4347,78796,,,329,589,216,160,,,,
4/7/2020,,,,2771,1802,153,4726,81364,,,691,614,233,187,,,,
4/8/2020,,,,3028,2074,174,5276,84601,,,1102,605,246,195,,,,
4/9/2020,,,,3254,2305,200,5759,88698,,,1208,632,264,214,,,,
4/10/2020,,,,3441,2574,222,6237,92673,,,1598,673,260,217,,,,
4/11/2020,,,,3537,2858,253,6648,96321,,,1517,691,257,215,,,,
4/12/2020,,,,3654,3121,274,7049,103165,,,1619,738,261,196,,,,
4/13/2020,,,,3822,3357,291,7470,108230,,,1534,760,263,203,,,,
4/14/2020,,,,4051,3568,334,7953,113082,,,2107,769,255,199,,,,
4/15/2020,,,,4160,3902,385,8447,119092,6010,,4429,795,254,188,,,,
4/16/2020,,,,4344,4194,423,8961,128093,9001,,4323,807,248,200,,,,
4/17/2020,,,,4491,4556,478,9525,136992,8899,,5993,829,245,200,,,,
4/18/2020,,,,4621,4875,514,10010,146454,9462,,6833,828,250,197,,,,
4/19/2020,,,,4816,5209,553,10578,156097,9643,8.5,5736,809,247,196,,,,
4/20/2020,,,,5085,5515,584,11184,164840,8743,7.1,3799,802,247,193,,,,
4/21/2020,,,,5307,5806,622,11735,174170,9330,7.7,5546,859,250,194,,,,
4/22/2020,,,,5365,6221,659,12245,184531,10361,8.1,6845,878,243,192,,,,
4/23/2020,,,,5486,6680,713,12879,194745,10214,7.3,6757,887,233,185,,,,
4/24/2020,,,,5669,7087,763,13519,207040,12295,5,5414,910,243,193,,,,
4/25/2020,,,,5675,7509,811,13995,217618,10578,5.7,8171,925,245,195,,,,
4/26/2020,,,,5597,8000,835,14432,229638,12020,7.1,7417,938,252,195,,,,
4/27/2020,,,,5439,8525,892,14856,242188,12550,6,5001,945,241,191,,,,
4/28/2020,,,,5466,8964,951,15381,253040,10852,5.7,6282,957,239,187,,,,
4/29/2020,,,,5120,9612,996,15728,264594,11554,5.2,9530,977,235,186,,,,
4/30/2020,,,,4900,10205,1082,16187,277522,12928,4.5,11859,999,233,181,,,,
5/1/2020,,,,4662,10825,1121,16608,294054,16532,4.9,11975,1017,225,175,,,,
5/2/2020,,,,4553,11390,1176,17119,310359,16305,4.6,12829,977,221,154,,,,
5/3/2020,,,,4332,12005,1216,17553,327505,17146,4.7,9785,1010,232,174,,,,
5/4/2020,,,,4118,12505,1300,17923,342060,14555,5.4,6265,984,225,175,,,,
5/5/2020,,,,4170,12779,1361,18310,352714,10654,5,6023,1043,223,166,,,,
5/6/2020,,,,4071,13222,1429,18722,365675,12961,4.1,8790,1032,219,174,,,,
5/7/2020,,,,4075,13569,1477,19121,380854,15179,3.5,13012,1033,220,155,,,,
5/8/2020,,,,4068,13990,1540,19598,397149,16295,3.2,14641,1028,213,166,,,,
5/9/2020,,,,3962,14383,1599,19944,416376,19227,3.2,15307,1016,203,158,,,,
5/10/2020,,,,3832,14772,1634,20238,433994,17618,3.7,14816,961,195,140,,,,
5/11/2020,,,,3746,15131,1669,20546,447964,13970,3.1,9018,1027,194,147,,,,
5/12/2020,,,,3791,15391,1725,20907,459921,11957,4.7,10811,1025,192,146,,,,
5/13/2020,,,,3626,15845,1765,21236,475058,15137,3.7,13395,1018,189,144,,,,
5/14/2020,,,,3579,16204,1798,21581,492487,17429,3.5,17578,1026,184,141,,,,
5/15/2020,,,,3456,16641,1825,21922,510841,18354,4.1,14373,986,179,135,,,,
5/16/2020,,,,3435,17020,1858,22313,528609,17768,5.4,10565,975,180,135,,,,
5/17/2020,,,,3412,17360,1881,22653,544826,16217,7.8,4414,934,171,129,,,,
5/18/2020,,,,3415,17638,1904,22957,553981,9155,8,2189,972,174,133,,,,
5/19/2020,,,,3567,17898,1919,23384,559794,5813,6,2294,987,167,123,4235,1456,1115,3
5/20/2020,,,,3622,18190,1962,23774,567176,7382,6.8,4444,991,160,120,4518,1573,1224,4
5/21/2020,,,,3685,18509,1993,24187,577682,10506,5.8,5051,984,155,117,4656,1601,1242,4
5/22/2020,,,,3840,18767,2021,24628,588958,11276,5.5,5516,961,153,120,4711,1623,1262,4
5/23/2020,,,,3846,19146,2048,25040,599986,11028,5.1,5871,912,147,119,4784,1650,1282,4
5/24/2020,,,,3950,19477,2073,25500,611369,11383,6.4,3216,878,148,104,4834,1668,1300,4
5/25/2020,,,,4104,19698,2102,25904,619539,8170,5,3883,859,148,114,4862,1678,1323,4
5/26/2020,,,,4110,19958,2123,26191,629414,9875,3.5,6961,848,143,113,4892,1703,1335,4
5/27/2020,,,,3956,20372,2155,26483,644547,15133,3,11817,847,150,117,4936,1721,1352,4
5/28/2020,,,,4004,20673,2189,26866,662162,17615,3.3,11868,833,137,94,4964,1745,1377,5
5/29/2020,,,,3997,20983,2230,27210,680687,18525,2.8,13351,826,129,100,4989,1775,1412,5
5/30/2020,,,,3933,21353,2247,27533,701327,20640,3.4,12760,801,121,84,5003,1793,1423,5
5/31/2020,,,,3783,21810,2266,27859,718341,17014,3.4,9647,781,118,90,5035,1802,1438,6
6/1/2020,,,,3834,22153,2276,28263,732720,14379,3.1,6427,781,125,89,5097,1814,1445,6
6/2/2020,,,,3932,22484,2293,28709,747964,15244,3.8,10622,801,125,87,5158,1825,1465,5
6/3/2020,,,,3924,22811,2312,29047,765501,17537,2.1,11636,791,127,92,5172,1843,1472,5
6/4/2020,,,,3838,23208,2357,29403,786323,20822,2.1,12760,776,121,94,5202,1865,1509,5
6/5/2020,,,,3792,23583,2372,29747,809053,22730,1.8,12247,749,118,94,5222,1883,1519,5
6/6/2020,,,,3848,23947,2407,30202,832158,23105,2,12384,673,117,97,5248,1892,1549,5
6/7/2020,,,,3939,24252,2426,30617,851532,19374,2.1,6779,635,117,92,5254,1921,1557,5
6/8/2020,,,,3918,24492,2450,30860,866889,15357,2.6,4811,603,118,81,5256,1932,1575,5
6/9/2020,,,,3797,24829,2464,31090,880398,13509,1.5,11020,600,116,88,5274,1948,1585,5
6/10/2020,,,,3486,25380,2475,31341,900339,19941,1.6,13897,580,118,86,5294,1963,1591,5
6/11/2020,,,,3172,25885,2487,31544,924680,24341,1.6,16359,538,120,87,5307,1967,1600,5
6/12/2020,,,,3041,26187,2498,31726,953015,28335,1.4,18512,527,114,84,5314,1984,1606,5
6/13/2020,,,,2947,26538,2507,31992,980471,27456,1,26158,489,110,68,5327,2001,1610,5
6/14/2020,,,,2709,26961,2519,32189,1003749,23278,1.3,25290,438,103,77,5368,2029,1625,6
6/15/2020,,,,2630,27213,2527,32370,1025500,21751,1.3,18258,419,104,69,5380,2041,1629,6
6/16/2020,,,,2585,27431,2538,32554,1047224,21724,1.2,17920,413,98,70,5357,2060,1632,6
6/17/2020,,,,2410,27784,2550,32744,1071429,24205,1.1,21635,383,92,65,5359,2097,1636,6
6/18/2020,,,,2360,28004,2553,32917,1096707,25278,1.1,24887,351,84,60,5360,2115,1636,6
6/19/2020,,,,2281,28250,2564,33095,1123932,27225,1.1,21479,331,82,65,5384,2142,1645,6
6/20/2020,,,,2238,28468,2595,33301,1151319,27387,1.1,16963,333,80,63,5345,2153,1651,6
6/21/2020,,,,2151,28719,2606,33476,1174727,23408,1.4,15424,286,86,59,5355,2176,1657,6
6/22/2020,,,,2095,28933,2609,33637,1196627,21900,1.8,10027,265,76,58,5364,2192,1654,6
6/23/2020,,,,2127,29107,2619,33853,1212816,16189,1.3,16418,288,75,54,5392,2205,1664,6
6/24/2020,,,,2049,29336,2631,34016,1236023,23207,1.3,21398,278,73,48,5427,2244,1683,5
6/25/2020,,,,2036,29528,2641,34205,1263534,27511,0.9,24607,270,69,47,5436,2258,1689,5
6/26/2020,,,,1918,29754,2644,34316,1294314,30780,1.1,27344,256,61,41,5445,2268,1692,5
6/27/2020,,,,1892,29932,2652,34476,1327806,33492,1.4,33759,252,54,35,5457,2282,1698,5
6/28/2020,,,,1889,30107,2658,34654,1356439,28633,1,29592,214,51,36,5468,2288,1700,5
6/29/2020,,,,2050,30196,2665,34911,1383566,27127,1,16701,232,46,35,5468,2283,1706,5
6/30/2020,,,,2052,30344,2672,35068,1407325,23759,1,19318,213,42,34,5473,2284,1710,5
7/1/2020,,,,2015,30526,2676,35217,1433381,26056,0.8,23326,209,43,30,5476,2292,1710,5
7/2/2020,,,,1960,30730,2680,35370,1457703,24322,0.8,13922,119,40,26,5488,2290,1712,6
7/3/2020,,,,1944,30909,2682,35535,1481897,24194,0.8,15911,155,40,25,5508,2301,1712,7
7/4/2020,,,,1886,31083,2687,35656,1503322,21425,1,14594,150,39,26,5512,2312,1717,7
7/5/2020,,,,1839,31266,2689,35794,1527114,23792,0.9,11651,139,39,23,5515,2321,1718,7
7/6/2020,,,,1833,31426,2689,35948,1544417,17303,0.8,8931,118,36,21,5514,2326,1717,7
7/7/2020,,,,1766,31603,2691,36060,1559529,15112,0.9,12625,131,34,24,5516,2327,1717,7
7/8/2020,,,,1673,31805,2700,36178,1582361,22832,0.9,17116,123,35,26,5521,2343,1722,7
7/9/2020,,,,1668,31977,2703,36348,1608687,26326,0.8,21648,123,31,23,5526,2364,1722,7
7/10/2020,,,,1599,32155,2710,36464,1636171,27484,0.7,25668,117,34,24,5527,2368,1724,7
7/11/2020,,,,1456,32422,2716,36594,1665693,29522,0.7,22083,128,31,18,5535,2383,1728,8
7/12/2020,,,,1470,32534,2719,36723,1691419,25726,0.8,16174,116,29,19,5537,2395,1729,8
7/13/2020,,,,1454,32663,2722,36839,1712315,20896,0.8,7837,104,28,20,5540,2403,1730,8
7/14/2020,,,,1442,32785,2723,36950,1729059,16744,0.7,13918,137,30,21,5540,2419,1729,8
7/15/2020,,,,1400,32920,2732,37052,1752828,23769,0.8,22029,115,31,22,5545,2453,1730,8
7/16/2020,,,,1365,33061,2737,37163,1779320,26492,0.9,25297,107,26,20,5548,2455,1731,8
7/17/2020,,,,1366,33162,2746,37274,1810483,31163,0.7,24781,108,30,21,5545,2462,1732,8
7/18/2020,,,,1398,33294,2748,37440,1839332,28849,0.7,24551,105,33,22,5547,2469,1732,8
7/19/2020,,,,1446,33407,2751,37604,1866222,26890,1,18081,101,34,23,5549,2477,1731,8
7/20/2020,,,,1474,33513,2752,37739,1887135,20913,1,11351,115,37,24,5546,2480,1730,8
7/21/2020,,,,1584,33605,2753,37942,1910109,22974,0.9,11842,120,36,23,5546,2484,1732,8
7/22/2020,,,,1540,33812,2755,38107,1934099,23990,0.7,18881,128,37,19,5877,2496,1788,8
7/23/2020,,,,1492,33963,2755,38210,1960100,26001,0.8,21825,154,35,21,5877,2501,1789,8
7/24/2020,,,,1547,34100,2758,38405,1988909,28809,0.9,25550,141,31,20,5881,2503,1791,8
7/25/2020,,,,1544,34240,2759,38543,2018813,29904,0.6,26078,97,30,21,5884,2517,1791,8
7/26/2020,,,,1558,34359,2763,38680,2044957,26144,0.6,18000,87,29,21,5885,2527,1792,8
7/27/2020,,,,1574,34461,2764,38799,2069621,24664,0.7,9249,82,30,18,5884,2527,1792,8
7/28/2020,,,,1575,34567,2768,38910,2086955,17334,0.7,12919,96,31,18,5885,2529,1793,8
7/29/2020,,,,1476,34741,2769,38986,2114263,27308,0.7,18268,91,28,17,5887,2537,1793,8
7/30/2020,,,,1397,34906,2772,39075,2141939,27676,0.6,28267,84,27,16,5889,2543,1793,8
7/31/2020,,,,1360,35074,2775,39209,2171972,30033,0.5,29215,78,29,15,5891,2556,1795,8
8/1/2020,,,,1319,35237,2777,39333,2205254,33282,0.6,26984,73,27,12,5893,2558,1797,8
8/2/2020,,,,1312,35359,2778,39449,2235697,30443,0.4,17839,72,26,14,5894,2555,1797,8
8/3/2020,,,,1274,35485,2778,39537,2258718,23021,0.5,12953,75,25,13,5895,2556,1797,8
8/4/2020,,,,1245,35601,2782,39628,2277887,19169,0.7,9285,78,28,15,5896,2557,1798,8
8/5/2020,,,,1185,35747,2782,39714,2295116,17229,0.6,16407,66,30,15,5896,2581,1798,8
8/6/2020,,,,1120,35906,2783,39809,2321297,26181,0.5,19292,71,29,13,5899,2593,1798,8
8/7/2020,,,,1090,36024,2783,39897,2346433,25136,0.6,25077,66,28,12,5901,2595,1799,8
8/8/2020,,,,1052,36131,2784,39967,2372441,26008,0.4,26273,53,27,12,5901,2601,1799,8
8/9/2020,,,,981,36279,2786,40046,2400212,27771,0.5,17540,55,26,12,5901,2605,1799,8
8/10/2020,,,,994,36381,2786,40161,2422487,22275,0.5,10865,49,25,14,5903,2605,1799,8
8/11/2020,,,,952,36456,2786,40194,2444068,21581,0.4,14677,60,21,12,5902,2608,1800,8
8/12/2020,,,,912,36590,2787,40289,2468640,24572,0.5,22054,49,20,10,5902,2611,1800,8
8/13/2020,,,,891,36689,2787,40367,2498266,29626,0.4,29049,43,20,10,5903,2617,1800,8
8/14/2020,,,,899,36772,2788,40459,2528403,30137,0.5,35426,41,17,9,5904,2618,1800,8
8/15/2020,,,,903,36873,2789,40565,2558839,30436,0.4,33852,39,17,10,5905,2614,1800,8
8/16/2020,,,,904,36953,2789,40646,2582652,23813,0.5,25847,37,18,9,5905,2616,1800,8
8/17/2020,,,,920,37036,2789,40745,2608219,25567,0.7,15076,32,16,10,5905,2617,1800,8
8/18/2020,,,,951,37126,2793,40870,2631286,23067,0.5,16128,41,15,10,5912,2622,1803,8
8/19/2020,,,,965,37215,2792,40972,2656928,25642,0.5,15490,42,15,10,5918,2626,1802,8
8/20/2020,,,,964,37291,2793,41048,2682845,25917,0.6,22104,35,15,8,5919,2628,1803,8
8/21/2020,,,,986,37397,2796,41179,2710918,28073,0.5,19941,35,13,7,5922,2636,1804,8
8/22/2020,,,,1003,37487,2797,41287,2739574,28656,0.4,17965,40,13,7,5923,2636,1804,8
8/23/2020,,,,1010,37595,2797,41402,2762958,23384,0.4,16115,41,11,6,5924,2638,1804,8
8/24/2020,,,,1036,37673,2798,41507,2781748,18790,0.6,9229,40,12,7,5924,2639,1804,8
8/25/2020,,,,1059,37748,2800,41607,2801761,20013,0.7,17259,39,13,10,5926,2639,1805,8
8/26/2020,,,,1030,37863,2802,41695,2823721,21960,0.6,20716,43,15,10,5927,2641,1805,8
8/27/2020,,,,1070,37940,2803,41813,2852346,28625,0.6,26179,48,18,10,5930,2640,1807,8
8/28/2020,,,,1103,38023,2809,41935,2884169,31823,0.6,30512,61,18,12,5932,2639,1814,8
8/29/2020,,,,1148,38126,2809,42083,2916275,32106,0.6,29491,51,17,5,5935,2637,1814,8
8/30/2020,,,,1181,38204,2810,42195,2941245,24970,0.6,23880,51,20,10,5936,2637,1814,8
8/31/2020,,,,1221,38277,2811,42309,2966343,25098,0.6,13542,49,18,9,5936,2638,1815,8
9/1/2020,,,,1240,38369,2812,42421,2989888,23545,0.7,15748,65,17,5,5937,2643,1815,8
9/2/2020,,,,1236,38506,2812,42554,3013892,24004,0.7,18273,60,13,9,5937,2648,1816,8
9/3/2020,,,,1249,38625,2812,42686,3040190,26298,0.6,22769,60,12,9,5938,2648,1817,8
9/4/2020,,,,1282,38741,2811,42834,3068781,28591,0.7,25945,66,13,8,5946,2649,1817,8
9/5/2020,,,,1345,38847,2811,43003,3097453,28672,0.8,23357,58,14,8,5944,2648,1817,8
9/6/2020,,,,1390,38958,2813,43161,3126408,28955,0.7,17698,52,15,9,5945,2649,1817,8
9/7/2020,,,,1461,39077,2813,43351,3150133,23725,1,10540,55,18,8,5951,2648,1817,8
9/8/2020,,,,1527,39196,2813,43536,3171062,20929,1,8357,54,17,7,5965,2643,1817,8
9/9/2020,,,,1540,39332,2813,43685,3188667,17605,1.3,20062,55,15,8,5967,2647,1818,8
9/10/2020,,,,1567,39474,2814,43855,3213336,24669,1,25850,54,14,9,5966,2647,1817,8
9/11/2020,,,,1657,39598,2813,44068,3245837,32501,1,31384,49,18,9,5965,2657,1817,8
9/12/2020,,,,1769,39717,2814,44300,3281455,35618,1,30491,43,12,8,5967,2659,1817,8
9/13/2020,,,,1848,39841,2815,44504,3312598,31143,0.9,26765,39,14,9,5974,2661,1818,8
9/14/2020,,,,2027,39974,2816,44817,3342138,29540,1,19260,47,17,8,5975,2662,1818,8
9/15/2020,,,,2157,40091,2820,45068,3369802,27664,1.3,24339,47,19,11,5983,2663,1822,8
9/16/2020,,,,2316,40245,2822,45383,3398563,28761,1.2,28346,44,20,12,6006,2666,1824,8
9/17/2020,,,,2427,40424,2825,45676,3433697,35134,1.3,37624,53,21,12,6006,2672,1824,8
9/18/2020,,,,2652,40600,2825,46077,3469523,35826,1.4,40443,58,20,10,6008,2677,1824,8
9/19/2020,,,,2881,40777,2826,46484,3508463,38940,1.3,42778,64,20,10,6006,,1824,7
9/20/2020,,,,3054,40968,2827,46849,3548590,40127,1.4,37671,63,23,10,6023,2682,1824,8
9/21/2020,,,,3299,41146,2829,47274,3580343,31753,1.5,32489,65,22,12,6024,2683,1825,8
9/22/2020,,,,3578,41342,2832,47752,3614544,34201,1.5,39788,82,24,11,6026,2683,1828,8
9/23/2020,,,,3652,41600,2835,48087,3649980,35436,1.2,48079,88,24,9,6030,2685,1830,8
9/24/2020,,,,3774,41886,2836,48496,3680614,30634,1,53840,88,27,11,6043,2690,1829,8
9/25/2020,,,,3899,42169,2837,48905,3722479,41865,1,65227,87,25,13,6047,2693,1831,8
9/26/2020,,,,3996,42507,2837,49340,3765717,43238,1.2,68040,100,28,15,6049,2693,1831,8
9/27/2020,,,,4196,42796,2839,49831,3808226,42509,1.4,65061,112,28,16,6051,2696,1832,8
9/28/2020,,,,4564,43127,2840,50531,3849337,41111,1.2,49586,128,29,17,6059,2701,1833,8
9/29/2020,,,,4791,43450,2844,51085,3887712,38375,1.2,54759,137,30,16,6062,2708,1833,8
9/30/2020,,,,4955,43907,2848,51710,3923465,35753,1.5,67126,150,35,17,6071,2714,1836,8
10/1/2020,,,,4975,44422,2851,52248,3963111,39646,1.5,82473,162,36,17,6085,2720,1838,8
10/2/2020,,,,5203,44850,2927,52980,4003204,40093,1.3,90513,167,38,21,6166,2555,1909,8
10/3/2020,,,,5380,45285,2968,53633,4049458,46254,1.5,91322,155,41,23,6207,,1948,8
10/4/2020,,,,5405,45819,2975,54199,4089119,39661,1.6,78953,169,43,25,6209,2646,1949,8
10/5/2020,,,,5474,46360,2980,54814,4127315,38196,1.8,68006,176,43,26,6216,2650,1951,8
10/6/2020,,,,5469,46906,2987,55362,4169346,42031,1.8,55483,192,41,26,6230,2659,1953,8
10/7/2020,,,,5344,47613,2988,55945,4212623,43277,1.9,55413,195,43,28,6253,2668,1952,8
10/8/2020,,,,5442,48308,2992,56742,4261111,48488,2.1,58118,206,47,29,6274,2670,1954,8
10/9/2020,,,,5652,49032,2997,57681,4306025,44914,2,58173,225,47,29,6286,2682,1956,8
10/10/2020,,,,5754,49732,3004,58490,4350323,44298,2,56138,213,48,29,6296,2689,1961,8
10/11/2020,,,,5697,50437,3005,59139,4394461,44138,2.3,45837,217,51,32,6301,2689,1961,8
10/12/2020,,,,5833,51105,3008,59946,4430934,36473,2.3,32473,203,53,30,6310,2698,1961,8
10/13/2020,,,,5946,51729,3017,60692,4462167,31233,2.6,24420,230,60,34,6318,2706,1968,8
10/14/2020,,,,5884,52512,3017,61413,4494373,32206,3,26558,231,64,35,6335,2712,1968,8
10/15/2020,,,,5883,53291,3022,62196,4534334,39961,2.9,36314,253,62,31,6355,2717,1969,8
10/16/2020,,,,5873,54004,3031,62908,4572841,38507,2,37155,261,67,36,6365,2728,1974,8
10/17/2020,,,,5986,54686,3041,63713,4617563,44722,2.3,33630,278,72,42,6380,2733,1979,8
10/18/2020,,,,5954,55371,3046,64371,4658413,40850,2.5,23609,247,71,43,6402,2740,1980,8
10/19/2020,,,,6047,55978,3050,65075,4690277,31864,3.1,16303,252,69,40,6419,2755,1980,8
10/20/2020,,,,6237,56606,3053,65896,4714326,24049,3.6,24129,274,72,45,6442,2772,1979,8
10/21/2020,,,,6299,57325,3062,66686,4746972,32646,2.5,29332,260,71,49,6462,2781,1981,8
10/22/2020,,,,6390,58066,3071,67527,4785832,38860,2.5,34784,270,74,48,6487,2785,1984,8
10/23/2020,,,,6474,58799,3080,68353,4825851,40019,2.9,35436,276,78,47,6524,2796,1987,8
10/24/2020,,,,6821,59424,3086,69331,4870002,44151,2.6,30922,294,82,53,6607,2805,1989,8
10/25/2020,,,,7120,60160,3093,70373,4908771,38769,3.2,23601,278,79,54,6637,2820,1989,8
10/26/2020,,,,7286,60839,3099,71224,4937423,28652,3.8,17603,295,78,51,6678,2822,1991,8
10/27/2020,,,,7418,61530,3103,72051,4961368,23945,3.5,22636,312,75,52,6705,2837,1994,8
10/28/2020,,,,7474,62303,3108,72885,4991378,30010,3,33906,312,71,51,6737,2840,1996,8
10/29/2020,,,,7578,63123,3118,73819,5026999,35621,2.9,40074,322,77,52,6765,2851,2001,8
10/30/2020,,,,7669,63919,3127,74715,5068007,41008,2.8,41063,314,75,52,6829,2869,2004,8
10/31/2020,,,,7877,64717,3136,75730,5109927,41920,3,36262,320,73,54,6873,2873,2009,8
11/1/2020,,,,7981,65581,3145,76707,5147060,37133,3,23933,350,72,46,6941,2878,2013,8
11/2/2020,,,,8096,66407,3152,77655,5174968,27908,4,15397,328,75,45,6963,2891,2016,8
11/3/2020,,,,8295,67244,3166,78705,5200247,25279,4,20758,357,73,47,6998,2898,2024,8
11/4/2020,,,,8321,68189,3182,79692,5228814,28567,3.7,33087,367,75,44,7042,2926,2035,8
11/5/2020,,,,8358,69137,3195,80690,5264568,35754,3.3,41787,381,86,48,7094,2934,2042,8
11/6/2020,,,,8398,70086,3209,81693,5305836,41268,3.7,47074,380,86,49,7183,2946,2050,8
11/7/2020,,,,8667,70938,3220,82825,5345001,39165,3.5,44572,384,88,52,7213,2969,2056,8
11/8/2020,,,,9105,71815,3233,84153,5382578,37577,4.2,35776,374,86,51,7288,2983,2063,8
11/9/2020,,,,9514,72636,3245,85395,5410979,28401,5,26646,367,84,54,7329,2997,2069,8
11/10/2020,,,,10106,73417,3260,86783,5440104,29125,5.7,27802,422,82,54,7391,3016,2080,8
11/11/2020,,,,10631,74303,3275,88209,5476811,36707,5.1,34460,424,88,57,7470,3034,2087,8
11/12/2020,,,,11271,75220,3293,89784,5516370,39559,4.3,41977,431,98,62,7527,3040,2099,8
11/13/2020,,,,11630,76238,3312,91180,5556879,40509,4.5,44507,452,106,67,7554,3054,2109,8
11/14/2020,,,,12188,77241,3332,92761,5601716,44837,4.2,39767,502,107,66,7624,3074,2121,8
11/15/2020,,,,12345,78303,3361,94009,5643922,42206,3.8,26147,479,118,67,7685,3087,2141,8
11/16/2020,,,,12830,79295,3371,95496,5677273,33351,4.1,16254,500,125,70,7747,3097,2145,8
11/17/2020,,,,12932,80430,3383,96745,5703741,26468,6.1,25435,529,127,75,7788,3131,2148,8
11/18/2020,,,,12822,81925,3415,98162,5737181,33440,4.5,36671,535,127,78,7857,3152,2174,8
11/19/2020,,,,12628,83301,3443,99372,5779019,41838,4.1,44493,526,146,88,7915,3161,2189,8
